regime,scenario,case,obj_type,alt_km,inc_deg,B,lifetime_d,delta_lifetime_d,delta_a_km,encounter_count,extra_impulse_ms,extra_deltav_ms,orbital_energy_removed_J_perkg,reentry
moderate,baseline,A_target_highAm_400,target,400,51.6,5.0,22.91138937202459,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,A_target_highAm_400,target,400,51.6,5.0,22.91096960273805,0.0004197692865410829,0.0,1,0.003979302953793311,0.003979302953793311,0.0,True
moderate,tracking,A_target_highAm_400,target,400,51.6,5.0,19.748144573498326,3.1632447985262644,0.0,2,3.447320070158465,3.447320070158465,0.0,True
moderate,baseline,A_protected_400,protected,400,51.6,80.0,342.68031041459085,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,A_protected_400,protected,400,51.6,80.0,342.68031041459085,0.0,0.0,1,0.00029531929231732225,0.00029531929231732225,0.0,True
moderate,tracking,A_protected_400,protected,400,51.6,80.0,342.68031041459085,0.0,0.0,2,4.164099700359445e-06,4.164099700359445e-06,0.0,True
moderate,baseline,B_target_compact_500,target,500,97.4,120.0,1826.5,0.0,0.0,0,0.0,0.0,0.0,False
moderate,fixed_pulse,B_target_compact_500,target,500,97.4,120.0,1826.5,0.0,0.00019008502022188623,1,3.465563948934997e-05,3.465563948934997e-05,0.8150947276524947,False
moderate,tracking,B_target_compact_500,target,500,97.4,120.0,1826.5,0.0,0.2858337622774343,2,0.058662937665364845,0.058662937665364845,1225.7218091743407,False
moderate,baseline,B_protected_500,protected,500,97.4,100.0,1826.5,0.0,0.0,0,0.0,0.0,0.0,False
moderate,fixed_pulse,B_protected_500,protected,500,97.4,100.0,1826.5,0.0,0.0,1,7.871945018754929e-06,7.871945018754929e-06,0.0,False
moderate,tracking,B_protected_500,protected,500,97.4,100.0,1826.5,0.0,0.0,0,4.4289729423789306e-217,4.4289729423789306e-217,0.0,False
moderate,baseline,C_frag_00,target,450,97.4,8.0,79.02158197285934,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_00,target,450,97.4,8.0,79.01724074909755,0.004341223761784363,0.0,1,0.0010341116639109433,0.0010341116639109433,0.0,True
moderate,tracking,C_frag_00,target,450,97.4,8.0,76.23162713736191,2.7899548354974257,0.0,2,1.561054517640036,1.561054517640036,0.0,True
moderate,baseline,C_frag_01,target,455,97.4,11.0,119.8617012889785,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_01,target,455,97.4,11.0,119.86816305737133,-0.006461768392838962,0.0,1,0.0010604316726794442,0.0010604316726794442,0.0,True
moderate,tracking,C_frag_01,target,455,97.4,11.0,119.8617012889785,0.0,0.0,0,1.224150730923315e-10,1.224150730923315e-10,0.0,True
moderate,baseline,C_frag_02,target,460,97.4,14.0,165.3667011788586,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_02,target,460,97.4,14.0,165.36671099306483,-9.814206237024337e-06,0.0,1,0.0007829749392803034,0.0007829749392803034,0.0,True
moderate,tracking,C_frag_02,target,460,97.4,14.0,165.3667011788586,0.0,0.0,0,2.5529554970689715e-36,2.5529554970689715e-36,0.0,True
moderate,baseline,C_frag_03,target,465,97.4,17.0,218.00833270828142,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_03,target,465,97.4,17.0,218.00885675930522,-0.0005240510238024854,0.0,1,0.00039935863208070597,0.00039935863208070597,0.0,True
moderate,tracking,C_frag_03,target,465,97.4,17.0,218.00833270828142,0.0,0.0,0,4.756361201175632e-78,4.756361201175632e-78,0.0,True
moderate,baseline,C_frag_04,target,470,97.4,20.0,280.62101012925774,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_04,target,470,97.4,20.0,280.62101012925774,0.0,0.0,1,0.00013714189655757164,0.00013714189655757164,0.0,True
moderate,tracking,C_frag_04,target,470,97.4,20.0,280.62101012925774,0.0,0.0,0,3.865971939850853e-136,3.865971939850853e-136,0.0,True
moderate,baseline,C_frag_05,target,450,97.4,23.0,225.68367939400534,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_05,target,450,97.4,23.0,225.6843440521835,-0.0006646581781524219,0.0,1,5.505675004171499e-05,5.505675004171499e-05,0.0,True
moderate,tracking,C_frag_05,target,450,97.4,23.0,225.68367939400534,0.0,0.0,0,0.0,0.0,0.0,True
moderate,baseline,C_frag_06,target,455,97.4,26.0,279.0033444802403,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_06,target,455,97.4,26.0,279.00334835812913,-3.877888843817345e-06,0.0,1,9.199994672065734e-06,9.199994672065734e-06,0.0,True
moderate,tracking,C_frag_06,target,455,97.4,26.0,279.0033444802403,0.0,0.0,0,0.0,0.0,0.0,True
moderate,baseline,C_frag_07,target,460,97.4,29.0,340.80615714148155,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_07,target,460,97.4,29.0,340.80615714148155,0.0,0.0,1,9.936579226552225e-07,9.936579226552225e-07,0.0,True
moderate,tracking,C_frag_07,target,460,97.4,29.0,340.80615714148155,0.0,0.0,0,0.0,0.0,0.0,True
moderate,baseline,C_frag_08,target,465,97.4,32.0,410.93271085034536,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_08,target,465,97.4,32.0,410.93271085034536,0.0,0.0,2,6.917140833469026e-08,6.917140833469026e-08,0.0,True
moderate,tracking,C_frag_08,target,465,97.4,32.0,410.93271085034536,0.0,0.0,0,0.0,0.0,0.0,True
moderate,baseline,C_frag_09,target,470,97.4,35.0,489.95635902346,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_frag_09,target,470,97.4,35.0,489.95635902346,0.0,0.0,2,1.5757535178021995e-08,1.5757535178021995e-08,0.0,True
moderate,tracking,C_frag_09,target,470,97.4,35.0,489.95635902346,0.0,0.0,0,0.0,0.0,0.0,True
moderate,baseline,C_protected_450,protected,450,97.4,90.0,882.2162974209252,0.0,0.0,0,0.0,0.0,0.0,True
moderate,fixed_pulse,C_protected_450,protected,450,97.4,90.0,882.2162974209252,0.0,0.0,1,1.1430524464612788e-05,1.1430524464612788e-05,0.0,True
moderate,tracking,C_protected_450,protected,450,97.4,90.0,882.2162974209252,0.0,0.0,0,0.0,0.0,0.0,True
