regime,obj_id,alt_km,B,delta,rho,v_ms,v_rel_ms,T_s,extra_dv_sim,extra_dv_pred,Pi_benefit
low,pop1574,800.0,50.0,1.0,2.074925781754894e-15,7451.831696831401,6987.442754886297,86400.0,8.75175915209786e-05,8.752917504949701e-05,0.9998676609426301
low,pop1881,450.0,30.0,0.5,1.771321797228167e-13,7640.42992691429,7734.934396652178,86400.0,0.007634297965679582,0.007630328447813428,1.0005202289643629
low,pop1284,500.0,30.0,0.5,6.702893065196482e-14,7612.608560598105,7689.525085667312,86400.0,0.002861650140726346,0.0028536047780454597,1.0028193682400535
low,pop1019,800.0,200.0,0.5,2.074925781754894e-15,7451.831696831401,7229.962037756272,86400.0,1.1727593682065307e-05,1.171381488148994e-05,1.0011762863520355
low,pop1721,350.0,120.0,2.0,1.7178436628102385e-12,7697.000192297669,7390.112145935511,86400.0,0.06788590269493591,0.0675488860375051,1.0049892259843292
low,pop0713,450.0,20.0,2.0,1.771321797228167e-13,7640.42992691429,7723.862118913514,86400.0,0.046880547994582945,0.04565099404072809,1.026933782707073
low,pop0910,500.0,20.0,2.0,6.702893065196482e-14,7612.608560598105,7306.901165259041,86400.0,0.016067855131799366,0.01546010729967317,1.0393107124255885
low,pop0238,800.0,10.0,2.0,2.074925781754894e-15,7451.831696831401,6985.393651943447,86400.0,0.0008823998272695354,0.0008747784582995273,1.0087123418480413
low,pop0512,800.0,200.0,5.0,2.074925781754894e-15,7451.831696831401,7216.004229097984,86400.0,0.0001170119503133674,0.00011668630310898187,1.002790792027076
low,pop0584,400.0,10.0,0.5,5.241092094789352e-13,7668.558571385414,7642.392052280231,86400.0,0.06659803537740819,0.06612020149754202,1.0072267456699133
low,pop1114,350.0,20.0,1.0,1.7178436628102385e-12,7697.000192297669,7493.12777621568,86400.0,0.2107728490314537,0.20833568511402684,1.0116982547473465
low,pop0932,600.0,10.0,2.0,1.3926418676027282e-14,7557.865585610068,7537.619053766785,86400.0,0.006895510127989964,0.00683630702922744,1.0086600994527326
low,pop1888,800.0,200.0,1.0,2.074925781754894e-15,7451.831696831401,7136.409078463959,86400.0,2.29915616330911e-05,2.282526309936002e-05,1.0072857225350336
low,pop0644,400.0,30.0,2.0,5.241092094789352e-13,7668.558571385414,7371.634757068541,86400.0,0.09120686705495258,0.08202417990852696,1.111950977829539
low,pop1266,450.0,30.0,0.5,1.771321797228167e-13,7640.42992691429,7728.624162773339,86400.0,0.007969558547038453,0.007617883735463659,1.0461643710756092
low,pop0792,450.0,120.0,2.0,1.771321797228167e-13,7640.42992691429,7206.74109447159,86400.0,0.007150546539440729,0.006623809040622041,1.0795218424305937
