altitude_km,regime,rho_kgm3,H_km,v_circ_ms,period_min
200,low,1.5410608868728617e-13,27.690771314278457,7784.262162739401,88.49404196290894
200,moderate,2.458856026788336e-13,33.874091898744624,7784.262162739401,88.49404196290894
200,high,3.7410591888134473e-13,40.17659182032867,7784.262162739401,88.49404196290894
200,storm,4.644745324437334e-13,40.11887846752079,7784.262162739401,88.49404196290894
250,low,2.7362655229339647e-14,34.41871937778278,7754.845906868778,89.50491325958372
250,moderate,6.297957845850528e-14,43.83618041587617,7754.845906868778,89.50491325958372
250,high,1.1965734973866568e-13,53.231542540341685,7754.845906868778,89.50491325958372
250,storm,1.5129184485150058e-13,53.20642771337039,7754.845906868778,89.50491325958372
300,low,6.313352357860423e-15,39.69979559976397,7725.760636982919,90.519604586768
300,moderate,2.0148070843777724e-14,51.10545291891148,7725.760636982919,90.519604586768
300,high,4.652619016602142e-14,62.24907921853578,7725.760636982919,90.519604586768
300,storm,6.035023757360582e-14,62.34394185667407,7725.760636982919,90.519604586768
350,low,1.7178436628102326e-15,43.569119314713255,7697.000192297669,91.53810161688061
350,moderate,7.345386809660421e-15,56.76020541238167,7697.000192297669,91.53810161688061
350,high,2.011758263341176e-14,69.37699159025082,7697.000192297669,91.53810161688061
350,storm,2.680231000033769e-14,69.47858829548522,7697.000192297669,91.53810161688061
400,low,5.241092094789335e-16,46.30592126606147,7668.558571385414,92.560390182355
400,moderate,2.9242463790656128e-15,61.02738265051743,7668.558571385414,92.560390182355
400,high,9.34702931299926e-15,74.78648276284173,7668.558571385414,92.560390182355
400,storm,1.2762488489255131e-14,74.79973167116947,7668.558571385414,92.560390182355
450,low,1.7713217972281546e-16,48.59929366480629,7640.42992691429,93.58645627268261
450,moderate,1.2396974333823836e-15,64.27531196929179,7640.42992691429,93.58645627268261
450,high,4.582277971323484e-15,79.0686817392651,7640.42992691429,93.58645627268261
450,storm,6.395027900236392e-15,78.96462105736572,7640.42992691429,93.58645627268261
500,low,6.702893065196506e-17,51.341881954065165,7612.608560598105,94.61628603153243
500,moderate,5.517671662300782e-16,66.95499207643007,7612.608560598105,94.61628603153243
500,high,2.3429673294491254e-15,82.6274776624583,7612.608560598105,94.61628603153243
500,storm,3.336480158586021e-15,82.38488494390859,7612.608560598105,94.61628603153243
550,low,2.8715932554787586e-17,55.63963634637173,7585.0889183470845,95.64986575394384
550,moderate,2.5636967777276046e-16,69.37938730101624,7585.0889183470845,95.64986575394384
550,high,1.2395095296743089e-15,85.60112029336767,7585.0889183470845,95.64986575394384
550,storm,1.8005248108714245e-15,85.27528027477942,7585.0889183470845,95.64986575394384
600,low,1.3926418676027234e-17,63.307951336729,7557.865585610068,96.68718188359034
600,moderate,1.244684005093316e-16,71.94816906796888,7557.865585610068,96.68718188359034
600,high,6.747799678383294e-16,88.25018405458192,7557.865585610068,96.68718188359034
600,storm,1.0006394386855437e-15,87.90101455046063,7557.865585610068,96.68718188359034
700,low,4.5400754275768896e-18,99.44552609088444,7504.286861489279,98.77296986651628
700,moderate,3.4201324949569486e-17,79.31373437216311,7504.286861489279,98.77296986651628
700,high,2.1551039197743327e-16,93.3597617417584,7504.286861489279,98.77296986651628
700,storm,3.3412885693000784e-16,93.21674792308788,7504.286861489279,98.77296986651628
800,low,2.07492578175488e-18,166.311247311285,7451.831696831401,100.87354440266925
800,moderate,1.1862327361000789e-17,94.26204137141596,7451.831696831401,100.87354440266925
800,high,7.59233117141517e-17,99.53955671294273,7451.831696831401,100.87354440266925
800,storm,1.2295428614433474e-16,100.14521685694434,7451.831696831401,100.87354440266925
