scenario,pair,case,obj_type,alt_km,inc_deg,B_kgm2,peak_delta,n_sigma_closest,encounter_count,time_fraction_in_patch,extra_dv_ms,natural_dv_ms,rel_to_natural,exposure_class
uniform,A,A_target_highAm_400,target,400,51.6,5.0,5.0,-0.0,1,1.0,0.007454435052247028,0.0014908870104494033,5.000000000000008,physical_exposure
localized_tracking,A,A_target_highAm_400,target,400,51.6,5.0,5.0,-0.0,1,1.0,0.007454435052246865,0.0014908870104494033,4.999999999999899,physical_exposure
uniform,A,A_protected_400,protected,400,51.6,80.0,5.0,-0.0,1,1.0,0.0004657382877335187,9.31476575467039e-05,4.999999999999991,physical_exposure
localized_tracking,A,A_protected_400,protected,400,51.6,80.0,5.6212753535794536e-05,4.774055887398435,1,1.0,4.9911213430240025e-09,9.31476575467039e-05,5.358289703121597e-05,gaussian_tail
uniform,D,D_target_550,target,550,97.6,20.0,5.0,-0.0,1,1.0,0.0001597712633324705,3.195425266649411e-05,4.999999999999998,physical_exposure
localized_tracking,D,D_target_550,target,550,97.6,20.0,5.0,-0.0,1,1.0,0.00015977126333246752,3.195425266649411e-05,4.999999999999905,physical_exposure
uniform,D,D_protected_550,protected,550,97.6,85.0,5.0,-0.0,1,1.0,3.758636745145457e-05,7.517273490290928e-06,4.99999999999999,physical_exposure
localized_tracking,D,D_protected_550,protected,550,97.6,85.0,3.223944980054656e-79,19.096756504715916,0,0.0,1.287075561286355e-84,7.517273490290928e-06,1.7121574237636836e-79,no_encounter
uniform,E,E_target_400_i28,target,400,28.5,15.0,5.0,-0.0,1,1.0,0.002481943999989994,0.000496388799998001,4.999999999999978,physical_exposure
localized_tracking,E,E_target_400_i28,target,400,28.5,15.0,5.0,-0.0,1,1.0,0.002481943999989941,0.000496388799998001,4.999999999999871,physical_exposure
uniform,E,E_protected_400_i51,protected,400,51.6,70.0,5.0,-0.0,1,1.0,0.0005318774249360891,0.0001063754849872181,4.999999999999987,physical_exposure
localized_tracking,E,E_protected_400_i51,protected,400,51.6,70.0,4.9316983256194185,0.16585834767413113,29,0.20625,6.678949167453941e-06,0.0001063754849872181,0.06278654492862216,physical_exposure
uniform,G,G_target_250,target,250,51.6,10.0,5.0,-0.0,1,1.0,0.0824937298361344,0.016498745967226846,5.000000000000011,physical_exposure
localized_tracking,G,G_target_250,target,250,51.6,10.0,5.0,-0.0,1,1.0,0.08249372983613285,0.016498745967226846,4.9999999999999165,physical_exposure
uniform,G,G_protected_250,protected,250,51.6,80.0,5.0,-0.0,1,1.0,0.010307360873153391,0.0020614721746306784,5.0,physical_exposure
localized_tracking,G,G_protected_250,protected,250,51.6,80.0,3.2239449580050404e-79,19.096756505074055,0,0.0,3.4542387817681975e-82,0.0020614721746306784,1.6756174661377806e-79,no_encounter
