case,obj_type,alt_km,inc_deg,B,raan,M0,e,argp
A_target_highAm_400,target,400,51.6,5.0,0.0,0.0,0.001,0.0
A_protected_400,protected,400,51.6,80.0,0.0,0.15,0.001,0.0
B_target_compact_500,target,500,97.4,120.0,1.0,2.0,0.001,0.0
B_protected_500,protected,500,97.4,100.0,1.1,3.0,0.001,0.0
C_frag_00,target,450,97.4,8.0,0.5,0.0,0.001,0.0
C_frag_01,target,455,97.4,11.0,0.51,0.3,0.001,0.0
C_frag_02,target,460,97.4,14.0,0.52,0.6,0.001,0.0
C_frag_03,target,465,97.4,17.0,0.53,0.8999999999999999,0.001,0.0
C_frag_04,target,470,97.4,20.0,0.54,1.2,0.001,0.0
C_frag_05,target,450,97.4,23.0,0.55,1.5,0.001,0.0
C_frag_06,target,455,97.4,26.0,0.56,1.7999999999999998,0.001,0.0
C_frag_07,target,460,97.4,29.0,0.5700000000000001,2.1,0.001,0.0
C_frag_08,target,465,97.4,32.0,0.58,2.4,0.001,0.0
C_frag_09,target,470,97.4,35.0,0.59,2.6999999999999997,0.001,0.0
C_protected_450,protected,450,97.4,90.0,0.5,2.2,0.001,0.0
D_target_550,target,550,97.6,20.0,2.0,1.0,0.001,0.0
D_protected_550,protected,550,97.6,85.0,2.0,1.6,0.001,0.0
E_target_400_i28,target,400,28.5,15.0,4.0,0.5,0.001,0.0
E_protected_400_i51,protected,400,51.6,70.0,4.0,0.5,0.001,0.0
F_target_750,target,750,98.0,25.0,1.5,0.8,0.001,0.0
F_protected_750,protected,750,98.0,100.0,1.5,1.8,0.001,0.0
G_target_250,target,250,51.6,10.0,3.0,0.2,0.001,0.0
G_protected_250,protected,250,51.6,80.0,3.0,0.8,0.001,0.0
